0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"2945","4046","246","243","243","244","244","242","243","243","243","243","243","2908","4155","4008","700","602","563","3209","2799","3187","2994","3039","2917","3354","322","671","386","554","413","403","495","340","540","553","335","245","243","243","243","242","244","243","3023","2571","242","242","782","1017","413","242","242","242"
"2651","3022","252","243","244","247","245","243","243","244","245","246","246","3130","4287","3565","1050","600","681","2550","2437","2788","2848","3638","2987","3005","356","531","343","395","370","391","349","337","587","557","343","250","245","246","243","243","245","242","3296","2219","242","242","909","1054","505","244","242","243"
"2651","3090","244","245","243","243","243","244","245","243","243","243","243","2889","4018","3759","766","674","571","2793","2257","2662","2799","3432","3032","3069","281","476","413","475","454","441","447","312","537","521","323","247","243","244","243","243","247","244","3251","2016","241","244","912","725","459","243","242","242"
"2798","4169","244","242","245","243","242","243","243","242","244","242","243","3066","3926","3415","990","569","424","2684","3013","3579","3021","3435","3244","2980","293","498","376","416","345","352","464","296","545","1125","329","245","242","243","243","243","246","243","3061","2593","242","242","691","644","377","243","242","242"
"5100","5042","257","244","244","261","294","298","242","245","244","243","282","5089","5099","5088","5074","4954","3753","2868","4055","4487","2892","5092","5089","3529","1484","1367","356","745","842","415","523","862","742","634","336","260","251","248","264","263","253","254","5095","1949","244","251","1631","4910","568","247","242","247"
"5100","4895","316","276","300","319","260","282","257","256","266","289","276","5100","4276","5099","3632","535","588","2481","3345","3602","3999","5100","5100","2952","285","640","360","1807","1360","355","386","429","1753","2113","1113","260","243","255","243","258","247","244","5100","3086","242","252","5083","5098","2173","249","242","248"
"5087","5046","331","262","242","302","243","243","291","258","254","300","244","5100","5100","5089","5084","3439","842","5100","2462","2681","5100","5098","5022","5100","680","416","379","863","1755","1099","1009","440","2344","1100","469","266","247","247","267","266","250","246","4929","5100","242","244","2811","4287","2441","278","242","247"
"3335","5029","247","244","257","245","246","264","260","257","243","243","258","4590","5100","3288","975","2810","1885","5071","5100","5100","5086","3401","2787","5100","287","914","676","3594","1598","1807","2237","377","3794","677","910","250","246","258","259","252","292","268","2847","3654","242","250","5015","1212","555","242","245","246"
"2384","5040","351","270","270","313","287","284","291","292","251","245","288","5080","5100","3585","2759","1344","3351","5100","5100","5100","5096","4811","3564","5100","503","1044","1086","426","838","382","442","561","842","2291","502","301","323","300","243","243","329","303","3881","5083","243","243","5065","737","435","262","249","247"
"5024","5045","246","250","245","259","242","247","247","242","244","242","252","5100","5027","5100","608","2492","4287","3682","5071","5065","4237","5100","5100","5089","317","758","502","1993","1471","706","568","594","696","536","561","259","242","255","243","245","248","256","5100","2412","243","243","5042","3012","3126","244","242","244"
"4161","3603","273","249","244","243","247","244","253","243","243","249","247","3930","4948","3537","855","1147","456","2519","4344","3853","3154","3615","4857","3625","412","855","459","463","459","446","433","358","861","577","408","244","244","243","245","251","246","249","4874","3852","243","242","1284","1485","505","248","244","243"
"4137","4298","244","243","243","252","243","251","246","243","242","245","252","3130","4488","4136","880","526","974","4421","2723","4868","4442","3628","2642","4899","429","1023","589","482","635","564","719","298","521","960","352","248","245","244","247","247","251","242","3943","2610","241","247","940","1024","1163","242","242","243"
"2312","2993","244","243","243","242","242","242","242","242","242","242","243","2639","3482","2900","701","556","460","2441","2209","2385","2613","2819","2585","2791","293","461","353","403","339","376","364","293","443","569","297","244","242","242","242","242","244","242","2533","1939","241","242","772","659","364","242","241","242"
"2769","100","100","100","100","100","100","100","100","100","100","100","100","3077","3349","2638","649","607","100","100","100","100","100","100","100","100","298","506","100","465","357","381","100","100","100","100","309","243","100","100","100","243","244","100","100","100","100","242","682","100","100","100","100","242"
"2904","3805","100","100","100","242","100","100","100","242","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","368","100","100","100","100","100","100","100","100","100","331","100","100","100","100","100","244","100","100","100","100","242","695","100","100","100","100","242"
"2764","3375","245","100","244","243","243","100","100","243","100","100","100","100","100","100","100","100","100","100","100","2272","100","2880","2393","100","311","100","100","100","100","100","378","314","100","100","330","244","100","242","100","242","244","100","100","100","241","100","710","100","100","100","100","242"
"2954","3392","100","100","100","243","100","100","100","100","100","242","100","2824","3469","100","100","697","100","100","100","100","100","2901","100","2523","100","447","386","453","339","100","100","318","513","100","329","246","100","100","100","243","246","100","100","100","242","100","742","739","100","100","241","242"
"2666","3364","246","100","243","243","243","243","242","242","243","243","243","2579","3058","2603","100","100","100","100","100","100","100","2572","2312","100","314","483","100","399","100","100","100","321","100","100","322","245","242","243","242","243","243","242","2455","1943","241","242","678","749","366","242","241","242"
"2746","3804","252","242","243","245","242","243","245","245","244","243","242","3016","100","100","100","100","100","100","100","100","3146","100","2747","100","100","100","100","100","100","100","100","100","100","100","338","244","243","242","242","243","244","242","3414","100","241","242","640","755","100","242","241","242"
"2850","3145","244","242","244","242","242","100","100","100","242","100","100","3183","3642","100","100","100","100","2385","100","100","100","100","2222","100","100","100","100","100","373","100","100","100","100","100","299","244","242","242","242","242","244","244","100","100","241","242","710","100","100","242","241","100"
"3213","3581","245","243","243","243","243","242","242","243","242","243","242","3373","4011","4021","995","802","604","2586","2031","3384","3005","4278","3094","3469","309","524","334","489","333","434","396","304","544","728","332","244","242","243","242","243","247","242","3672","2030","241","242","978","1126","560","242","241","242"
"2631","4887","244","243","247","245","261","243","242","242","250","246","244","5091","5100","5062","1077","2321","1624","5092","3473","4006","5100","5035","3423","3326","530","799","414","559","599","899","765","329","517","647","411","257","259","243","250","243","246","244","4512","4458","242","244","1198","4236","1615","242","243","245"
"2487","3076","244","242","243","242","242","242","242","242","242","242","242","3217","4056","3675","670","553","433","2675","2169","2995","2997","3571","2797","2935","286","455","330","413","347","358","349","280","409","567","283","243","242","242","242","242","244","242","3042","2041","241","242","706","751","344","242","241","241"
"2165","2576","244","242","242","242","242","242","242","242","242","242","242","2328","2330","1764","510","503","406","1644","1825","2110","2156","1643","2093","2038","284","434","329","380","342","351","346","280","396","494","283","243","242","242","242","242","243","242","1570","1702","241","242","592","562","341","242","241","241"
"2442","3025","244","243","243","242","242","242","242","242","242","242","242","2847","3658","3229","680","568","444","2427","2205","2567","2659","2937","2741","2892","297","473","343","407","363","362","347","290","443","540","294","243","242","243","242","242","243","242","2767","2092","241","242","722","666","381","242","241","242"
"2209","2720","244","242","243","242","242","242","242","242","242","242","242","2997","3565","3149","667","583","437","2391","1992","2651","2872","3196","2454","2663","288","462","343","393","363","376","359","284","440","578","291","243","242","242","242","242","244","242","2813","1893","241","242","716","730","361","242","241","242"
"2847","3068","244","242","243","243","242","242","242","243","242","242","243","2914","3683","3576","646","621","484","2731","2062","2787","3417","3482","2596","2691","285","532","360","449","337","372","337","305","462","856","314","243","242","242","242","242","244","242","2695","2044","241","242","752","1094","340","242","241","242"
"2243","3494","256","249","245","242","245","244","244","247","243","242","248","2835","3988","4817","2084","1232","809","3038","2345","2671","3422","3084","4458","4016","359","533","406","629","486","580","446","312","463","775","368","243","246","243","245","247","246","244","2713","2124","241","242","1015","898","837","244","242","243"
"2592","3240","243","242","242","242","242","242","242","242","242","242","242","3369","4218","3874","715","631","484","2796","2276","3039","3386","3868","2913","3111","289","452","343","426","340","382","352","288","449","646","292","243","242","242","242","242","243","242","3406","2114","241","242","769","865","390","242","241","242"
"2486","3121","246","243","243","244","244","242","243","242","243","242","243","2375","3867","2852","1025","1002","744","2411","2703","2168","2890","2735","2964","3127","320","628","381","371","331","412","372","297","481","967","328","246","246","242","242","242","244","243","2998","2065","241","242","1094","800","371","242","241","242"
"1577","1575","243","242","242","242","242","242","242","242","242","242","242","1704","1972","1644","514","462","407","1449","1409","1460","1593","1694","1482","1546","266","406","305","362","316","322","322","264","351","490","270","243","242","242","242","242","243","242","1573","1227","241","242","576","577","338","242","241","241"
"1497","1702","243","242","242","242","242","242","242","242","242","242","242","1939","2482","2249","536","410","369","1450","1336","1591","1667","1811","1383","1528","265","387","289","324","300","303","294","258","316","483","265","243","242","242","242","242","243","242","1837","1376","241","242","558","560","327","242","241","241"
"2190","2400","243","242","243","242","242","242","242","242","242","242","242","2447","2097","2402","539","490","402","1617","1754","2062","2114","1901","1938","1678","280","426","325","380","334","342","339","277","383","507","277","243","242","242","242","242","243","242","1440","1705","241","242","592","577","327","242","241","241"
"3286","3265","244","243","244","243","244","242","242","244","242","244","244","3271","3742","3731","900","617","714","3065","2076","3256","3221","4155","3244","3241","325","511","377","429","398","415","400","330","457","1129","336","244","243","243","242","242","244","243","3279","2763","241","242","1151","1216","448","243","241","242"
"3682","4859","244","243","243","245","246","254","242","246","243","244","242","4670","4890","3883","1320","1221","783","2747","2004","3842","5010","5055","2951","2918","334","583","629","589","408","356","433","354","807","896","431","247","242","243","242","250","246","250","3928","2816","241","242","832","792","802","243","241","244"
"2916","3773","247","244","243","243","242","243","243","244","242","243","245","3382","4417","3621","1448","750","495","3056","2542","3975","3884","3879","3873","2944","307","509","380","434","483","468","385","307","536","987","333","246","245","242","243","243","244","244","4462","2125","241","242","988","821","373","242","241","243"
"2572","3306","245","242","243","242","242","243","242","243","243","242","243","3163","4182","3918","992","746","625","2873","2361","3134","3193","3808","2769","3078","306","425","366","466","379","383","371","307","484","562","307","243","242","242","242","242","244","242","3156","2122","241","242","770","1005","360","242","241","242"
"1475","1163","244","242","242","242","242","242","242","242","242","242","242","966","1163","1023","411","381","345","1103","1387","1057","1604","1641","1424","1469","265","403","285","347","289","294","308","258","331","484","256","242","242","242","241","242","242","242","1022","854","241","242","581","431","324","242","241","241"
"3094","5065","244","242","242","242","242","242","242","242","242","242","242","3099","4856","5052","509","480","403","1626","2554","3295","3294","2178","3079","5048","264","343","285","335","290","293","309","258","330","423","282","243","242","242","241","242","247","242","1931","2088","241","242","1224","793","329","242","241","241"
"1595","1372","243","242","242","242","242","242","242","242","242","242","242","1670","1329","1481","472","373","340","1003","1278","1498","1521","1277","1381","1370","264","331","272","356","276","278","318","253","349","408","261","242","242","242","241","241","243","242","1228","1095","241","242","511","560","329","242","241","241"
"2939","4666","248","245","243","242","245","246","245","243","246","243","244","5071","5051","5043","2245","1409","515","3528","2131","5064","4103","4842","3342","4248","318","1098","519","540","346","433","519","324","495","1012","374","244","244","243","242","242","244","243","4533","3067","243","242","2150","1119","440","247","242","243"
"2646","3287","244","242","243","242","242","242","242","242","242","242","242","3495","4344","3984","792","607","505","2980","2243","3209","3458","3996","2907","3070","287","470","339","421","363","370","363","283","443","596","288","243","242","242","242","242","244","242","3415","2157","241","242","790","841","375","242","241","242"
"2606","3304","244","243","243","243","242","243","243","243","242","242","242","3413","4475","4042","740","625","586","2945","2231","3037","3333","3913","2821","3088","297","430","355","394","339","365","351","294","480","650","301","243","242","242","242","242","244","242","3254","2077","241","242","800","889","421","242","241","242"
"2934","4283","244","242","244","243","242","242","243","244","242","244","243","4442","4519","4608","2102","1106","1055","4330","2185","4883","4984","4186","3174","3207","349","531","348","502","399","433","386","337","625","1381","338","245","242","242","245","243","244","242","4243","2411","242","244","752","1144","533","242","242","243"
"2171","2257","244","242","242","242","242","242","242","242","242","242","242","2105","2459","2389","504","485","406","1811","1773","2031","1862","2161","2104","2023","268","413","311","358","312","325","324","271","357","480","275","243","242","242","242","242","243","242","1873","1632","241","242","604","567","330","242","241","241"
"2483","3133","244","242","242","243","242","242","242","242","242","242","242","3366","4281","3838","725","598","476","2818","2156","3089","3323","3818","2904","3016","289","458","337","420","356","371","358","285","437","590","288","243","242","242","242","242","244","242","3215","2086","241","242","738","788","356","242","241","242"
"2071","2398","244","242","242","242","242","242","242","242","242","242","242","2495","2896","2605","590","497","413","2065","1753","2169","2298","2613","2062","2161","278","424","316","385","332","341","332","273","375","499","278","243","242","242","241","242","243","242","2210","1651","241","242","620","595","324","242","241","241"
"1994","2436","244","242","242","242","242","242","242","242","242","242","242","2609","3176","2968","611","488","418","2286","1823","2575","2555","3111","2133","2290","277","424","314","386","330","334","332","271","376","520","271","243","242","242","242","242","243","242","2427","1709","241","242","615","629","330","242","241","241"
"955","991","242","242","242","242","242","242","242","242","242","242","242","1169","1287","1368","437","339","315","1149","1042","1349","1327","1549","1074","1229","261","318","266","289","271","273","273","250","285","377","253","242","242","242","241","241","242","242","1072","866","241","241","417","463","304","241","241","241"
"1108","1160","242","242","242","242","242","242","242","242","242","242","242","1365","1505","1613","470","315","296","999","920","1175","1144","1365","969","1019","259","306","264","282","267","269","269","249","279","357","255","242","242","242","241","241","242","241","1268","1000","241","241","446","498","308","241","241","241"
"2551","3225","244","242","242","242","242","242","242","242","242","242","242","3376","4301","3879","716","553","493","2908","2145","3122","3396","3781","2879","3095","289","473","338","421","362","369","361","283","432","593","290","243","242","242","242","242","244","242","3355","2139","241","242","752","824","385","242","241","242"
"2567","3078","244","242","242","242","242","242","242","242","242","242","242","3388","4155","3815","757","525","453","2847","2166","3141","3213","3967","2675","2944","286","461","326","419","349","349","351","277","401","563","281","243","242","242","242","242","244","242","3166","2086","241","242","733","717","359","242","241","241"
"2815","3554","245","243","244","243","243","242","242","242","243","242","243","3800","4594","3846","698","653","508","2763","2596","3667","3635","3751","2995","3326","301","501","376","462","390","380","332","306","513","772","321","243","243","242","242","242","246","242","3454","2259","242","242","915","1097","478","242","241","242"
"2541","3232","244","242","243","243","242","242","243","242","242","242","242","3507","4239","3878","747","528","539","2821","2223","3279","3235","3749","2793","3165","287","483","350","425","370","364","333","292","450","578","297","243","242","242","242","242","244","242","3340","2079","241","242","802","714","380","242","241","242"
"2538","3377","245","242","243","244","243","244","243","243","242","242","243","3393","4491","3854","862","604","668","3186","2126","3167","3278","3961","3068","3222","306","577","347","445","379","362","368","312","494","554","317","243","243","243","243","242","245","243","3162","2135","242","242","862","689","477","242","241","242"
"2604","3215","244","242","243","242","242","242","242","242","242","242","242","3478","4504","3922","866","640","493","2888","2146","3259","3482","4094","2822","3173","290","445","344","433","356","377","364","287","450","634","294","243","242","242","242","242","244","242","3431","2179","241","242","737","719","377","242","241","242"
