0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"176093031","28276064","14770076","256355","3534185","1590793","1362555","132173","41093","218951","85883","20569","23352","10897485","27714372","21768540","2333708","1757626","350428","9943624","9932323","4541343","22440251","49248088","47886831","2338424","1055732","243849","69093","37613151","149730","28950","305745","296547","103247","148778","78509056","479779","257078","245031","5861226","13743194","4333385","1175826","4834273671","71471778","159271","145461","2004903","877343","119609","68446","41791","265262"
"111033977","12572450","13669007","40642","1755160","1083074","425343","30664","6229","73416","36577","7115","10696","8161415","17551462","11888908","2402440","842084","176339","5094443","3560177","1525888","11579599","25778044","16678746","1088849","954574","96429","22906","10330288","44999","13576","66801","124535","58424","101428","46400127","389147","452250","200236","1842227","8123138","3149564","180969","3517534254","45327292","43008","69611","1710318","338039","59597","107235","8851","31401"
"153572921","17789548","4764026","149877","638287","376037","229975","87275","21416","56878","28619","2871","5991","10385761","22811575","17976313","2059839","1432088","172824","7983470","4563310","2038925","15748459","33445909","24358362","1578478","434009","108251","57144","22537393","108846","25223","181266","126219","67812","122314","50611012","368825","215093","196454","2360504","15660969","6817570","639226","4855318212","56121954","29406","254303","2331667","266000","65976","143546","6362","50242"
"84955467","15098413","13974466","303812","12293421","4143390","1173916","522202","84447","340917","237322","26293","33953","5842568","12780855","9121733","1989049","892790","111122","4155427","5669669","2661075","11202493","27853878","28813449","1026822","679466","100287","57646","14713487","71535","15706","233230","156418","87180","266497","78471103","840833","201147","491298","11033171","55808824","14041910","1921902","2494337862","38882629","478192","204796","912092","208647","57312","261450","172797","784873"
"13153585","1646363","635791","2261","24648","127292","194554","34764","98","3623","861","89","3332","827180","1597517","1310944","976323","681312","64913","280916","331160","125941","572958","2623160","2058663","63957","523292","16172","1033","1535355","8831","590","7148","31363","4035","6235","1604061","31776","45504","12492","1107949","5010703","381274","83373","342022690","1792310","7454","70674","188175","101778","3555","10549","211","3999"
"9553580","550890","1540534","17445","372537","271990","36368","13453","1030","6972","4248","1080","1509","741485","404834","770039","241672","14876","2700","114205","128481","46102","414755","1723077","1292701","25049","7111","2693","559","2558496","8792","191","1863","5122","5878","15501","10426816","19047","4912","12685","32484","1907761","97996","8761","233565248","1563111","696","16184","363540","91729","10271","8028","205","2713"
"14493315","2608391","7094262","168309","19541","810787","15535","2424","12569","30855","8394","4952","400","1521920","2991275","1676831","2012651","521806","13637","1574469","242884","88046","4019455","3767273","2004509","317793","274440","3179","2010","3105848","36765","5031","32756","18221","24651","18535","7561853","89747","47944","18950","2270540","10360327","475637","60217","337387904","12078277","3478","13127","464425","107806","37241","140032","575","8344"
"15730208","2832771","1712111","22374","1154182","207014","141974","121263","51758","114180","4657","680","12828","1349984","4800849","1156889","237635","752880","73652","1336847","1408333","580489","3034686","2488568","1866652","366480","57067","28447","14616","32789066","65967","19052","190628","26881","88889","16675","52998950","91010","166748","211530","4683309","13375009","6824354","854839","315114259","8419657","17746","167924","2505133","41803","9284","7144","12773","32370"
"1420759","451246","1839358","11845","104038","204584","74776","11578","2669","20235","1451","68","1670","225061","682101","179531","111492","43608","18221","288569","309028","88674","466229","506611","319615","52945","31859","3719","2995","171986","3014","161","1731","5616","1699","10745","1755925","43112","155436","44792","39390","200994","1150276","168635","61122708","1709457","2620","1613","224478","2746","651","17277","1671","2344"
"7532503","1214000","1027747","82386","193138","979871","33875","38189","6966","9409","8237","341","8862","867875","583887","1210294","37835","222958","87257","291068","302692","112820","603406","3107333","2401490","68114","88948","13095","7672","9458543","51701","4448","22879","75794","5977","4155","13832324","144617","26879","142205","449978","4599628","550053","421559","424888252","1750162","58780","36239","534253","40296","48565","31463","4268","40965"
"23849641","2021432","22440130","176033","341659","249230","774987","38162","35049","36294","15615","7932","10770","1393493","2535439","1460622","242400","335320","12663","693603","961567","284243","1652593","3255584","4097476","166838","574161","46056","15969","3262013","24120","5753","35096","63366","24807","16363","24485715","54087","157347","50798","2744984","33703655","1326575","612404","804829867","11929405","134427","28046","375461","66559","17517","211785","37795","63826"
"59763930","7315328","4414535","95927","2319882","3248030","614261","778690","54200","115533","26538","23689","78850","2672985","7026056","5224105","775802","332508","208747","3263401","2463553","1897754","8201642","14595027","11583203","870789","904161","122527","56382","7260482","106870","17573","177609","59279","25743","92199","35225961","465842","270000","176966","10474792","37248575","7238777","363264","1495890098","17133630","30966","580328","654227","209859","217359","43741","75145","286517"
"3428817293","460844511","271936340","5377791","59250790","44821033","11473535","4960281","972816","6565871","980458","129997","340406","313970674","640321030","468810948","53000892","30942319","4189877","194817973","124041529","50928827","417232212","762034401","560806714","42813198","31377850","3750300","1749612","638905632","2223009","845449","4310754","4795144","2232187","4142650","1778798679","13056883","14240447","7811592","136133571","801056050","189922567","27453341","110836664074","1839258441","2705451","4939385","53677326","6153383","3333853","5371311","388035","3194199"
"16892146687","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","130541117","391711258","130235998","24471500","32903472","100000","100000","100000","100000","100000","100000","100000","100000","1789034225","88827472","100000","22134307995","31515061","90667089","100000","100000","100000","100000","24975469516","113909904","100000","100000","100000","4024698111","10586006889","100000","100000","100000","100000","95675190","4988284591","100000","100000","100000","100000","81636355"
"127176335","8644245","100000","100000","100000","673586971","100000","100000","100000","15972300","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","2986377","100000","100000","100000","100000","100000","100000","100000","100000","100000","344159498","100000","100000","100000","100000","100000","9568963","100000","100000","100000","100000","2115151","19166984","100000","100000","100000","100000","202237"
"35569243","12337399","4037087","100000","11895702","562235","846698","100000","100000","463105","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","2383526","100000","62998172","29943266","100000","1523191","100000","100000","100000","100000","100000","430790","629174","100000","100000","261261512","159310","100000","137052","100000","37853649","42306127","100000","100000","100000","110769","100000","37118081","100000","100000","100000","100000","323753"
"191981121","206388751","100000","100000","100000","43401124","100000","100000","100000","100000","100000","5290730","100000","73294145","106877331","100000","100000","22588396","100000","100000","100000","100000","100000","1391677716","100000","62418800","100000","7561739","17920509","2345291067","3750403","100000","100000","15193650","37790927","100000","738333745","5080197","100000","100000","100000","122911934","25224284","100000","100000","100000","4550161","100000","33041654","69200857","100000","100000","534903","2607764"
"198152988","89349356","19869812","100000","12138345","2170553","3038148","664878","479057","884578","4551381","813565","1417825","7155061","10028616","8787605","100000","100000","100000","100000","100000","100000","100000","95401657","108210984","100000","6084144","1650816","100000","306471302","100000","100000","100000","2822309","100000","100000","2334876128","2137262","623320","1097876","38256924","339976335","42868115","1885381","2571009614","195875839","3130911","351844","88765801","9077105","24095977","1572639","362814","3715437"
"107486198","62381403","110379624","13074","1564885","195060","10200856","268910","59642","133827","223020","31750","22096","9072286","100000","100000","100000","100000","100000","100000","100000","100000","31284496","100000","352497229","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","956566102","847800","42720875","903028","4677887","8591562","4167069","29647","92526154","100000","836661","91455","1307549","184582","100000","362054","43339","243064"
"9219540589","3911148127","1022921303","7626142","20520187","75753824","186582888","100000","100000","100000","276268968","100000","100000","88913267","107273119","100000","100000","100000","100000","480281682","100000","100000","100000","100000","48435363126","100000","100000","100000","100000","100000","9182343","100000","100000","100000","100000","100000","81148685749","12941624","543955766","81530220","157411424","227019745","35996023","101437376","100000","100000","43237146","12205375","51893116","100000","100000","81231850","629539","100000"
"2354067321","251097814","1125094953","17823173","138955170","214061863","85960014","7863109","1630021","23597852","4255465","1039528","1435743","161699210","240441207","224493077","47399211","36612199","4859617","101173381","65054408","37299506","232861212","594998391","458417382","22025568","74537866","3666834","1629433","700503587","1998076","1110217","7010287","9795366","2449002","3941672","4385000585","39775279","52598602","25956333","150470719","2673020726","830997748","46870030","75715848212","825625651","7413326","32351572","42739150","7579489","6632987","11449343","1484751","13083141"
"75835731","14711544","2334188","24995","1078823","530083","1471502","18435","2218","20207","110233","3377","4763","12382756","20544986","10583157","1496757","3914040","403652","11411784","4336820","1352716","25804046","22450046","15524159","693211","3612592","161339","48972","18465478","127944","60537","409795","126267","38526","101617","87027614","1118567","1619564","581541","5049891","5214654","4368472","650211","3018847331","67469646","47066","106431","1897094","1259440","128002","18097","9980","41999"
"263631671796","29067931882","16188646954","213169477","2439676118","2287617904","835336821","120109377","28204098","256071223","56715104","12364888","22973269","19294038670","34458015239","24192022033","2732204614","2081881815","226438571","12499565440","8054825384","3527534309","26082124230","51538870693","40413487944","2247310169","2926849389","299934642","129235814","53626689073","216735910","63892366","362049685","330313551","130373515","283005522","129601568690","859634719","683044945","400171648","2789622540","29046634483","21636712383","1937010729","7407353368803","108179418881","149581030","275790859","3689858503","487464896","66362992","214514039","21804365","102107705"
"86433198218","15674056477","7276937079","110476293","1514786788","828421853","421905483","52935187","11276275","90847374","42085610","6341118","13650413","5639187614","56238969468","18648603267","1745061523","1348571447","107053113","4794845064","2350252168","1131130011","8375408032","30056136212","12073649282","1490884919","1253148376","212279222","55127576","28887709838","84380680","24482451","164498578","171472975","64907220","88103049","51168343505","419014440","232424782","201801727","2258920567","34653722135","55364135030","855040453","4517548645284","35094031533","99758641","175141082","2426083434","158651828","26926137","83255632","10702096","44668862"
"48678312852","5823835353","1671278101","25326177","212617428","145056322","94560330","11262339","2898495","21053067","7530987","1378275","1752062","3724835295","6979711495","5387812758","617564830","382845293","39435017","2347283262","1518793753","652595344","5092583633","9164364773","7376767620","497492644","274013782","42531342","14152734","6162798283","24859776","6129269","33959155","35595316","19158324","46717388","13292037351","82597153","99705494","46822737","349832952","2642607542","916856523","86362910","1472885954797","21926274890","7519291","25197130","588720479","78821470","26898720","24997850","2113419","8274713"
"420679896724","50558179870","15435072220","128405237","2370358111","1153761853","889987919","85777157","18378230","209353112","48908180","4326072","13728517","31451763837","54410138470","35097093450","4548415031","3345165233","278485560","19421571334","14718348079","5491593659","46269531861","85618590061","77522620960","3576739491","3190211302","363048343","169297367","48525724181","248650554","69700637","477801306","406723629","177886935","557989962","142459073602","1005982500","920586105","208939484","1852141657","21076714573","15955198151","1735504920","12109107779673","171356954461","61556185","153826077","5846321532","777315909","82525703","97155081","6047702","38837574"
