0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"3131","293","1292","1755","5347","643","673","1152","352","651","181","211","62","620","701","704","697","591","171","248","113","131","66","145","77","65","323","97","64","101","297","81","100","166","142","45","2611","687","687","2232","4975","26762","12266","5921","1143","413","3631","5492","165","70","2815","2580","27801","6819"
"864","75","607","562","1064","303","162","240","84","163","55","34","17","171","163","171","164","132","33","69","19","21","14","24","10","13","184","33","22","36","89","29","40","63","41","12","1053","297","642","978","1587","12624","5783","1505","307","129","1111","2235","43","10","458","1522","5480","1267"
"884","76","626","586","1125","312","169","254","89","171","57","37","18","177","169","176","169","136","34","71","19","21","15","25","10","14","188","34","23","37","92","29","41","64","42","12","1077","303","655","1013","1668","13097","5907","1559","317","133","1167","2326","44","11","498","1578","5883","1363"
"3185","299","1230","1653","5019","587","622","1087","333","617","173","202","58","628","707","711","696","599","172","254","114","130","67","145","77","66","313","96","63","102","292","79","99","161","141","45","2561","669","654","2134","4744","25620","12028","5807","1155","416","3461","5229","173","71","2693","2456","26746","6561"
"7326","651","6090","5408","10566","3065","1593","2299","803","1567","515","321","172","1452","1413","1458","1388","1141","277","638","179","181","135","207","95","121","1686","295","211","331","793","259","376","564","368","122","9593","2787","6531","9437","14720","117878","52007","13459","2609","1185","10388","21295","433","90","4056","14292","49384","11449"
"8033","735","6574","5816","11610","3350","1741","2495","869","1693","552","344","188","1579","1598","1564","1500","1341","329","701","199","200","144","221","103","134","1898","331","232","345","847","284","415","634","380","123","10418","3127","7072","10165","15557","125966","57719","14968","2829","1272","11160","22703","434","96","3785","15258","53456","12420"
"20494","1817","17473","15624","31134","8982","4671","6703","2326","4532","1484","918","506","4033","3943","4043","3777","3126","842","1624","522","526","342","561","267","320","4966","876","610","950","2203","724","1058","1679","983","327","28066","8400","18894","27347","41802","339033","154184","40168","7421","2992","30295","61210","1165","245","9848","40876","146313","33870"
"33460","2819","39373","35529","78416","21855","11257","16085","5504","10405","3242","2086","1240","6412","5804","6638","6733","5063","1298","2525","742","756","529","947","460","481","8924","1437","1029","1403","3656","1161","1730","2999","1560","538","47818","17044","40192","58230","83489","673850","272650","74866","12179","4790","68469","130846","1930","420","17614","85145","392355","97361"
"4693","386","4047","3641","7172","2080","1077","1550","541","1050","346","214","116","869","834","926","832","730","166","341","101","101","71","123","59","67","1062","180","126","203","486","159","229","354","223","66","5932","1810","4361","6346","9915","79170","32783","8662","1629","632","7163","14480","236","58","2596","9740","34789","8112"
"10206","901","8301","7348","14338","4173","2165","3130","1096","2129","703","434","233","2004","2003","1978","2118","1593","396","858","241","244","179","285","132","158","2432","427","298","445","1094","359","533","810","513","169","13421","3963","8863","12857","19947","161247","73783","18986","3637","1616","14139","28901","578","127","4893","19422","67972","15707"
"5655","509","4719","4289","8410","2418","1258","1824","644","1243","414","255","135","1139","1069","1157","1103","899","230","470","129","133","96","158","71","89","1357","231","164","257","632","204","291","457","281","88","7643","2298","5092","7567","11764","95021","42329","11117","2058","845","8559","17097","324","70","3042","11536","42194","9761"
